CHANNEL ,Ch. Username,Channel ID,TITLE,DATE,URL,video_id
24 Horas,@24horasperu,‘UCsakKsRww3J7pM6DavkrAIQ’,Minsa: vacuna Sinopharm muestra 94% de efectividad,4-Aug-21,https://www.youtube.com/watch?v=VTEQQsm0ME8,VTEQQsm0ME8
24 Horas,@24horasperu,‘UCsakKsRww3J7pM6DavkrAIQ’,¿Cuál es la efectividad de la vacuna de Sinopharm? (1/2,4-Aug-21,https://www.youtube.com/watch?v=UY9dgXisEPg,UY9dgXisEPg
24 Horas,@24horasperu,‘UCsakKsRww3J7pM6DavkrAIQ’,¿Cuál es la efectividad de la vacuna de Sinopharm? (2/2,4-Aug-21,https://www.youtube.com/watch?v=HlA8pyW5N1M,HlA8pyW5N1M
AFP Español,@afpes,'UCY8d83kIW6sK4au73qeZZTw',Perú compra 52 millones de dosis de vacunas contra el covid-19 a Sinopharm y AstraZeneca | AFP,6-Jan-21,https://www.youtube.com/watch?v=7FOQUwMQ3ko,7FOQUwMQ3ko
América Noticias,AméricaNoticiasOficial,UCPhm2I2wk4vqjENwhn3px8A',"¿Cuál es la efectividad de la vacuna de Sinopharm, según estudio del INS? | Primera Edición",23-Jul-21,https://www.youtube.com/watch?v=kOHHxaK0qw8,kOHHxaK0qw8
América Noticias,AméricaNoticiasOficial,UCPhm2I2wk4vqjENwhn3px8A',Vacuna Sinopharm tiene 90 % de efectividad en menores de 60 año | Primera Edición,4-May-21,https://www.youtube.com/watch?v=8AmgVyWNx9c,8AmgVyWNx9c
América Noticias,AméricaNoticiasOficial,'UCPhm2I2wk4vqjENwhn3px8A',Vacuna Sinopharm: Datos que confirman su efectividad para salvar vidas | Utíl E Interesante,6-Aug-21,https://www.youtube.com/watch?v=aRhQpxn_3xg,aRhQpxn_3xg
América Noticias,AméricaNoticiasOficial,'UCPhm2I2wk4vqjENwhn3px8A',SinoPharm: ¿Qué se sabe de su eficacia y efectos secundarios? | Sanamente con el Doctor Huerta,8-Jan-21,https://www.youtube.com/watch?v=kAlPOoCbpuU,kAlPOoCbpuU
América Noticias,AméricaNoticiasOficial,'UCPhm2I2wk4vqjENwhn3px8A',Jefa de los ensayos clínicos de Sinopharm respondió a comisión del Congreso | Primera Edición,8-Mar-21,https://www.youtube.com/watch?v=X_uCR6KWytw,X_uCR6KWytw
BBC News Mundo,@BBCMundo,'UCUBIrDsIVzRpKsClMlSlTpQ',Cuáles son las vacunas chinas que se aplican en América Latina y cuál es su eficacia | BBC Mundo,28-Apr-21,https://www.youtube.com/watch?v=Rj9JiCY49CE,Rj9JiCY49CE
CNN en Español,@cnnee,'UCJag7ggH_TnSye399htVAEw',Llega a Perú el primer cargamento de vacunas de Sinopharm,7-Feb-21,https://www.youtube.com/watch?v=XgOj7jh9SrM&pp=ygUbbGEgcmVwdWJsaWNhIHBlcnUgc2lub3BoYXJt,XgOj7jh9SrM
Diario El Comercio,@DiarioElComercio,'UCx3EFMH2b3n01q_uxZPYAoA'),Sinopharm y AstraZeneca: Todo sobre las vacunas que compró el Perú | El Comercio | VideosEC,5-Feb-21,https://www.youtube.com/watch?v=g3I4rPgOA8c,g3I4rPgOA8c
Diario El Comercio,@DiarioElComercio,'UCx3EFMH2b3n01q_uxZPYAoA'),Covid-19: mitos y verdades de la vacuna de Sinopharm | #LPD | #VideosEC,6-Aug-21,https://www.youtube.com/watch?v=eBUN3pDYpv0,eBUN3pDYpv0
Diario El Comercio,@DiarioElComercio,'UCx3EFMH2b3n01q_uxZPYAoA'),Vacuna Sinopharm: lo que no sabias sobre su efectividad frente al coronavirus,6-Aug-21,https://www.youtube.com/watch?v=l8Tmlzp-GEA,l8Tmlzp-GEA
Diario El Comercio,@DiarioElComercio,'UCx3EFMH2b3n01q_uxZPYAoA'),"Sinopharm y AstraZeneca: todo sobre las vacunas contra el COVID-19 que compró el PER""",8-Jan-21,https://www.youtube.com/watch?v=FXzG-4vN5IA,FXzG-4vN5IA
Diario El Comercio,@DiarioElComercio,'UCx3EFMH2b3n01q_uxZPYAoA'),Coronavirus Perú: Francisco Sagasti recibe vacuna china Sinopharm,9-Feb-21,https://www.youtube.com/watch?v=z2RpNhE7vAc,z2RpNhE7vAc
La República - LR+,@LaRepublica,'UCVAo1AtOSFvb2slEE8vB4Pw',Vacuna Sinopharm: este fin de semana llegarán al Perú 700 mil dosis - RTV Noticias,11-Feb-21,https://www.youtube.com/watch?v=OCdaqqQ3pjE&pp=ygUbbGEgcmVwdWJsaWNhIHBlcnUgc2lub3BoYXJt,OCdaqqQ3pjE
Latina Noticias,@latinanoticias,'UCpSJ5fGhmAME9Kx2D3ZvN3Q'),Vacuna de Sinopharm tiene 94% de efectividad según el Minsa,5-Aug-21,https://www.youtube.com/watch?v=ZyzvNFD_EHU,ZyzvNFD_EHU
Latina Televisión,@Latinape,'UC3rDtLrcgr3JS3_3JOW4BAw'),Sinopharm y Pfizer inician trámite de registro sanitario en el Perú,20-Jan-21,https://www.youtube.com/watch?v=I1k2yENgRBE,I1k2yENgRBE
Latina Televisión,@Latinape,'UC3rDtLrcgr3JS3_3JOW4BAw'),Conozca todo sobre la efectividad de la vacuna de Sinopharm,5-May-21,https://www.youtube.com/watch?v=3VZXiMwyIQg,3VZXiMwyIQg
Minsa Peru,@MinsaPeruSalud,'UCpR7spJxkXzqAI9aBr7Xacw'),¿Conoces cómo funciona la vacuna Sinopharm?,26-Jan-21,https://www.youtube.com/watch?v=hgJSSy14dIA,hgJSSy14dIA
PBO,@PBO,,Exjefe del INS Ernesto Bustamante sobre la segunda ola COVID 19 y FUERZA POPULAR y KEIKO FUJIMORI,24-Oct-20,https://www.youtube.com/watch?v=9NKE9OQ9BTk,9NKE9OQ9BTk
PBO,@PBO,,Exdirector INS Ernesto Bustamante sobre primer lote de vacunas Sinopharm a Perú __ PBO Radio 91.9 FM,6-Feb-21,https://www.youtube.com/watch?v=5PzTJnq01ZY&lc=UgygfxcZtPDJHiTmP4V4AaABAg,5PzTJnq01ZY
Peru21 TV Channel,@DiarioPeru21,,EN VIVO Explican adquisición y eficacia de vacunas Sinopharm en el Congreso,10-Mar-21,https://www.youtube.com/watch?v=kg_OFkHnd80,kg_OFkHnd80
Peru21 TV Channel,@DiarioPeru21,,COVID 19: Comisión del Congreso exige realizar auditoría sobre ensayo de Sinopharm,10-Mar-21,https://www.youtube.com/watch?v=Yl6eBlrXjac,Yl6eBlrXjac
Peru21 TV Channel,@DiarioPeru21,,COVID-19 en Perú: Sinopharm anuncia que su vacuna es eficaz en un 79%,30-Dec-20,https://www.youtube.com/watch?v=Sk-UkktS4M4,Sk-UkktS4M4
Peru21 TV Channel,@DiarioPeru21,,Coronavirus Perú : Cosas que sabias sobre la efectividad de la Vacuna Sinopharm ante el COVID-19,5-Aug-21,https://www.youtube.com/watch?v=ubRj_S3gJEM,ubRj_S3gJEM
Peru21 TV Channel,@DiarioPeru21,,"COVID-19 en Perú: LLEGADA DE VACUNAS SINOPHARM AL PER""",7-Feb-21,https://www.youtube.com/watch?v=5eo5ptas7R4,5eo5ptas7R4
Presidencia de la República del Perú,@PresidenciaPeru,'UCtgAzE8TaeTB3Owqho52E3g',Presidente Pedro Castillo supervisó llegada de lote de vacunas de Sinopharm,10-Sep-21,https://www.youtube.com/watch?v=TLrrqZNTWMw,TLrrqZNTWMw
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,Llegó al Perú el segundo lote de 700 000 vacunas de Sinopharm contra la COVID-19,13-Feb-21,https://www.youtube.com/watch?v=NXUwCP9YRdE,NXUwCP9YRdE
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,Vocero de Minsa: Efectividad de Sinopharm para prevenir muerte es de 90%,15-Jul-21,https://www.youtube.com/watch?v=g-znb99dKqc,g-znb99dKqc
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,Vacuna COVID-19: avances del ensayo clínico del laboratorio Sinopharm en Perú,18-Nov-20,https://www.youtube.com/watch?v=NU9mxmYN5Fo,NU9mxmYN5Fo
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,Colegio Médico del Perú solicita tercera dosis de vacuna Sinopharm para personal médico,3-Jun-21,https://www.youtube.com/watch?v=qLgLbZy73gM,qLgLbZy73gM
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,Vacuna de Sinopharm: Colegio de Biólogos rechaza declaraciones del congresista Ernesto Bustamante,4-Aug-21,https://www.youtube.com/watch?v=zcFgzY8rsyU,zcFgzY8rsyU
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,Minsa brinda conferencia sobre eficacia de vacuna Sinopharm,4-Aug-21,https://www.youtube.com/watch?v=Z66i6jUmK0g,Z66i6jUmK0g
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,"Vacuna Sinopharm posee efectividad del 90%, según informe preliminar",4-May-21,https://www.youtube.com/watch?v=Cz0dWMBwQwc,Cz0dWMBwQwc
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,"Estudio de Sinopharm en el Perú: ""Es una vacuna que nos da seguridad""",6-Aug-21,https://www.youtube.com/watch?v=yTASknMQ8wY,yTASknMQ8wY
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,Perú: Conoce los testimonios de dos voluntarias de la vacuna Sinopharm,7-Feb-21,https://www.youtube.com/watch?v=Mh8eDIT3h_8,Mh8eDIT3h_8
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,"Germán Málaga: ""la vacuna Sinopharm consiste en un virus cultivado que luego fue etsinactivado""",7-Jan-21,https://www.youtube.com/watch?v=EVl9-KEfYEY,EVl9-KEfYEY
RPP Noticias,@RPPNoticias,'UC5j8-2FT0ZMMBkmK72R4aeA,"Sobre confianza en vacuna Sinopharm: ""basado en el reporte peruano preliminar, hay que esperar""",8-Mar-21,https://www.youtube.com/watch?v=TvJvNftwQ3Y,TvJvNftwQ3Y
TVPerú Noticias,@tvperunoticias,‘UCkZCoc42IipR1ucqJmIehsA’,"Renuncia Coralith García, jefa de los ensayos clínicos de Sinopharm",26-Mar-21,https://www.youtube.com/watch?v=Q_nM_LJU2g4,Q_nM_LJU2g4
TVPerú Noticias,@tvperunoticias,‘UCkZCoc42IipR1ucqJmIehsA’,Ministerio de Salud: efectividad de vacuna Sinopharm para prevenir muerte por COVID-19 es de 94%,4-Aug-21,https://www.youtube.com/watch?v=b7FsVusAGHY,b7FsVusAGHY
TVPerú Noticias,@tvperunoticias,‘UCkZCoc42IipR1ucqJmIehsA', PCM brinda precisiones sobre efectividad de la vacuna de Sinopharm,6-Mar-21,https://www.youtube.com/watch?v=e-080UzycHY,e-080UzycHY
TVPerú Noticias,@tvperunoticias,'UCkZCoc42IipR1ucqJmIehsA',Primeras 300 mil vacunas de Sinopharm ya están en el Perú,7-Feb-21,https://www.youtube.com/watch?v=fdoBS9dXIGI,fdoBS9dXIGI
TVPerú Noticias,@tvperunoticias,'UCkZCoc42IipR1ucqJmIehsA',COVID-19: Perú inicia ensayos clínicos de vacuna de laboratorio Sinopharm,9/9/2020,https://www.youtube.com/watch?v=Otbblq0u_F0,Otbblq0u_F0
Wayka,@Wayka,'UC3fzTS1mN_AfEJZeT7E_oxw',El fujimorista Ernesto Bustamante y la desinformación sobre la vacuna,5-Aug-21,https://www.youtube.com/watch?v=hrmYU8zj6xE,hrmYU8zj6xE
WillaxTV,,,Milagros Leiva Entrevista - JUL 19 - 2/3 - #NOTENEMOSMIEDO | Willax,19-Jul-21,https://www.youtube.com/watch?v=McRPpKQzx68,McRPpKQzx68
WillaxTV,,,En vivo __ | Conferencia de prensa en defensa de la libertad de expresión | Willax Tv,19-Jul-21,https://www.youtube.com/watch?v=FkQPm476Tr4,FkQPm476Tr4
WillaxTV,,,"Combutters Ð ENE 23 Ð BETO ORTIZ: SI NO ME HUBIERA IDO A MƒXICO, ESTARêA EN CANA | Willax",,https://www.youtube.com/watch?v=LPThw6l7nhI,LPThw6l7nhI
WillaxTV,,,Combutters Ð DIC 13 - 2/2 EL VALOR DE BETO ORTIZ | Willax,,https://www.youtube.com/watch?v=ZSfe0DfoUv8,ZSfe0DfoUv8
,,,Soy un sembrador de cizaña - Beto Ortiz Ep.98 La Linares,,https://www.youtube.com/watch?v=JxzXfYNPlEo,JxzXfYNPlEo